
ACCX_Angle -177.08	ACCY_Angle 167.58		GRYX_Angle 12.41	GYRY_Angle 12.39	GYRZ_Angle 12.46		CFangleX_Angle -175.97	CFangleY_Angle 168.42		HEADING  10.91 tiltCompensatedHeading  8.26
ACCX_Angle -177.12	ACCY_Angle 167.59		GRYX_Angle 12.63	GYRY_Angle 12.61	GYRZ_Angle 12.68		CFangleX_Angle -176.02	CFangleY_Angle 168.43		HEADING  10.62 tiltCompensatedHeading  7.82
ACCX_Angle -176.90	ACCY_Angle 167.42		GRYX_Angle 12.85	GYRY_Angle 12.83	GYRZ_Angle 12.90		CFangleX_Angle -176.02	CFangleY_Angle 168.41		HEADING  10.77 tiltCompensatedHeading  7.35
ACCX_Angle -176.94	ACCY_Angle 167.40		GRYX_Angle 13.07	GYRY_Angle 13.05	GYRZ_Angle 13.12		CFangleX_Angle -176.03	CFangleY_Angle 168.38		HEADING  11.04 tiltCompensatedHeading  8.07
ACCX_Angle -177.08	ACCY_Angle 167.60		GRYX_Angle 13.29	GYRY_Angle 13.30	GYRZ_Angle 13.37		CFangleX_Angle -176.06	CFangleY_Angle 168.42		HEADING  11.04 tiltCompensatedHeading  8.56
ACCX_Angle -176.89	ACCY_Angle 167.60		GRYX_Angle 13.53	GYRY_Angle 13.51	GYRZ_Angle 13.57		CFangleX_Angle -176.03	CFangleY_Angle 168.42		HEADING  10.97 tiltCompensatedHeading  7.55
ACCX_Angle -176.69	ACCY_Angle 166.93		GRYX_Angle 13.74	GYRY_Angle 13.72	GYRZ_Angle 13.78		CFangleX_Angle -176.00	CFangleY_Angle 168.29		HEADING  10.97 tiltCompensatedHeading  6.97
ACCX_Angle -176.87	ACCY_Angle 167.48		GRYX_Angle 13.95	GYRY_Angle 13.94	GYRZ_Angle 14.01		CFangleX_Angle -176.01	CFangleY_Angle 168.31		HEADING  10.83 tiltCompensatedHeading  7.27
ACCX_Angle -177.08	ACCY_Angle 166.91		GRYX_Angle 14.17	GYRY_Angle 14.17	GYRZ_Angle 14.24		CFangleX_Angle -176.04	CFangleY_Angle 168.22		HEADING  10.83 tiltCompensatedHeading  8.54
ACCX_Angle -177.07	ACCY_Angle 167.65		GRYX_Angle 14.41	GYRY_Angle 14.41	GYRZ_Angle 14.48		CFangleX_Angle -176.06	CFangleY_Angle 168.29		HEADING  10.81 tiltCompensatedHeading  7.99
ACCX_Angle -177.06	ACCY_Angle 167.62		GRYX_Angle 14.65	GYRY_Angle 14.65	GYRZ_Angle 14.72		CFangleX_Angle -176.07	CFangleY_Angle 168.35		HEADING  10.81 tiltCompensatedHeading  7.94
ACCX_Angle -176.73	ACCY_Angle 167.93		GRYX_Angle 14.87	GYRY_Angle 14.87	GYRZ_Angle 14.94		CFangleX_Angle -176.03	CFangleY_Angle 168.44		HEADING  10.90 tiltCompensatedHeading  6.56
ACCX_Angle -176.71	ACCY_Angle 167.35		GRYX_Angle 15.09	GYRY_Angle 15.09	GYRZ_Angle 15.16		CFangleX_Angle -175.98	CFangleY_Angle 168.40		HEADING  10.90 tiltCompensatedHeading  6.72
ACCX_Angle -176.78	ACCY_Angle 167.71		GRYX_Angle 15.31	GYRY_Angle 15.31	GYRZ_Angle 15.38		CFangleX_Angle -175.97	CFangleY_Angle 168.43		HEADING  11.06 tiltCompensatedHeading  7.24
ACCX_Angle -177.04	ACCY_Angle 167.68		GRYX_Angle 15.54	GYRY_Angle 15.54	GYRZ_Angle 15.62		CFangleX_Angle -176.00	CFangleY_Angle 168.47		HEADING  11.06 tiltCompensatedHeading  8.37
ACCX_Angle -176.88	ACCY_Angle 167.79		GRYX_Angle 15.81	GYRY_Angle 15.81	GYRZ_Angle 15.88		CFangleX_Angle -175.96	CFangleY_Angle 168.54		HEADING  10.81 tiltCompensatedHeading  7.13
ACCX_Angle -176.52	ACCY_Angle 167.09		GRYX_Angle 16.02	GYRY_Angle 16.02	GYRZ_Angle 16.09		CFangleX_Angle -175.90	CFangleY_Angle 168.43		HEADING  10.81 tiltCompensatedHeading  5.85
ACCX_Angle -176.40	ACCY_Angle 167.22		GRYX_Angle 16.24	GYRY_Angle 16.23	GYRZ_Angle 16.30		CFangleX_Angle -175.83	CFangleY_Angle 168.35		HEADING  10.98 tiltCompensatedHeading  5.58
ACCX_Angle -176.56	ACCY_Angle 167.65		GRYX_Angle 16.45	GYRY_Angle 16.44	GYRZ_Angle 16.54		CFangleX_Angle -175.81	CFangleY_Angle 168.38		HEADING  10.98 tiltCompensatedHeading  6.13
ACCX_Angle -176.86	ACCY_Angle 167.60		GRYX_Angle 16.69	GYRY_Angle 16.68	GYRZ_Angle 16.78		CFangleX_Angle -175.83	CFangleY_Angle 168.42		HEADING  11.04 tiltCompensatedHeading  7.64
